OUTPUT GOES HERE

Current time: Wed May  8 11:30:48 2019
 
Number of Buffers: 7
Number of Producers: 7
Number of Consumers: 9
Number of items Produced by each producer :15
Number of items consumed by each consumer :11
Over consume on?: 1
Over consume amount: 6
Time each Producer Sleeps (seconds): 1
31 Was produced by Producer->   3
32 Was produced by Producer->   6
30 Was consumed by Consumer->   4
31 Was consumed by Consumer->   4
33 Was produced by Producer->   6
34 Was produced by Producer->   3
32 Was consumed by Consumer->   8
33 Was consumed by Consumer->   5
34 Was consumed by Consumer->   7
35 Was produced by Producer->   3
35 Was consumed by Consumer->   6
36 Was produced by Producer->   5
37 Was produced by Producer->   5
38 Was produced by Producer->   3
39 Was produced by Producer->   6
40 Was produced by Producer->   3
41 Was produced by Producer->   6
42 Was produced by Producer->   3
36 Was consumed by Consumer->   3
37 Was consumed by Consumer->   2
38 Was consumed by Consumer->   8
39 Was consumed by Consumer->   4
40 Was consumed by Consumer->   4
41 Was consumed by Consumer->   8
42 Was consumed by Consumer->   5
43 Was produced by Producer->   5
44 Was produced by Producer->   3
45 Was produced by Producer->   6
46 Was produced by Producer->   3
47 Was produced by Producer->   5
48 Was produced by Producer->   3
49 Was produced by Producer->   6
43 Was consumed by Consumer->   7
44 Was consumed by Consumer->   6
45 Was consumed by Consumer->   2
46 Was consumed by Consumer->   3
47 Was consumed by Consumer->   4
48 Was consumed by Consumer->   8
49 Was consumed by Consumer->   4
50 Was produced by Producer->   5
51 Was produced by Producer->   3
52 Was produced by Producer->   6
50 Was consumed by Consumer->   8
53 Was produced by Producer->   3
54 Was produced by Producer->   3
55 Was produced by Producer->   6
51 Was consumed by Consumer->   2
52 Was consumed by Consumer->   7
56 Was produced by Producer->   5
53 Was consumed by Consumer->   3
54 Was consumed by Consumer->   4
55 Was consumed by Consumer->   5
56 Was consumed by Consumer->   6
57 Was produced by Producer->   5
58 Was produced by Producer->   6
57 Was consumed by Consumer->   8
58 Was consumed by Consumer->   4
59 Was produced by Producer->   6
60 Was produced by Producer->   3
59 Was consumed by Consumer->   2
61 Was produced by Producer->   3
62 Was produced by Producer->   3
60 Was consumed by Consumer->   7
61 Was consumed by Consumer->   4
62 Was consumed by Consumer->   8
63 Was produced by Producer->   5
63 Was consumed by Consumer->   6
64 Was produced by Producer->   6
65 Was produced by Producer->   6
66 Was produced by Producer->   5
67 Was produced by Producer->   3
64 Was consumed by Consumer->   4
68 Was produced by Producer->   3
69 Was produced by Producer->   5
65 Was consumed by Consumer->   5
66 Was consumed by Consumer->   3
70 Was produced by Producer->   3
67 Was consumed by Consumer->   8
68 Was consumed by Consumer->   4
69 Was consumed by Consumer->   7
70 Was consumed by Consumer->   2
71 Was produced by Producer->   6
71 Was consumed by Consumer->   6
72 Was produced by Producer->   6
73 Was produced by Producer->   3
74 Was produced by Producer->   3
72 Was consumed by Consumer->   4
75 Was produced by Producer->   3
73 Was consumed by Consumer->   8
76 Was produced by Producer->   5
74 Was consumed by Consumer->   8
75 Was consumed by Consumer->   5
76 Was consumed by Consumer->   3
77 Was produced by Producer->   5
77 Was consumed by Consumer->   4
78 Was produced by Producer->   6
79 Was produced by Producer->   3
80 Was produced by Producer->   3
81 Was produced by Producer->   5
82 Was produced by Producer->   3
83 Was produced by Producer->   6
84 Was produced by Producer->   5
78 Was consumed by Consumer->   7
79 Was consumed by Consumer->   2
80 Was consumed by Consumer->   6
81 Was consumed by Consumer->   8
82 Was consumed by Consumer->   4
83 Was consumed by Consumer->   8
84 Was consumed by Consumer->   5
85 Was produced by Producer->   6
86 Was produced by Producer->   3
87 Was produced by Producer->   5
88 Was produced by Producer->   3
89 Was produced by Producer->   3
90 Was produced by Producer->   6
91 Was produced by Producer->   5
85 Was consumed by Consumer->   4
86 Was consumed by Consumer->   4
87 Was consumed by Consumer->   7
88 Was consumed by Consumer->   2
89 Was consumed by Consumer->   6
90 Was consumed by Consumer->   8
91 Was consumed by Consumer->   3
92 Was produced by Producer->   6
93 Was produced by Producer->   5
94 Was produced by Producer->   3
95 Was produced by Producer->   3
96 Was produced by Producer->   3
97 Was produced by Producer->   6
98 Was produced by Producer->   5
92 Was consumed by Consumer->   8
93 Was consumed by Consumer->   5
94 Was consumed by Consumer->   7
95 Was consumed by Consumer->   8
96 Was consumed by Consumer->   6
97 Was consumed by Consumer->   3
99 Was produced by Producer->   6
100 Was produced by Producer->  5
98 Was consumed by Consumer:    7
99 Was consumed by Consumer->   3
101 Was produced by Producer->  5
102 Was produced by Producer->  6
100 Was consumed by Consumer->  8
103 Was produced by Producer->  3
104 Was produced by Producer->  3
105 Was produced by Producer->  3
Producer thread joined: 0
Consumer thread joined: 0
Producer thread joined: 1
Consumer thread joined: 1
Producer thread joined: 2
Consumer thread joined: 2
Producer thread joined: 3
Consumer thread joined: 3
Producer thread joined: 4
Consumer thread joined: 4
Producer thread joined: 5
Consumer thread joined: 5
Producer thread joined: 6
101 Was consumed by Consumer:   7
102 Was consumed by Consumer:   7
103 Was consumed by Consumer:   7
104 Was consumed by Consumer:   7
105 Was consumed by Consumer:   7
Consumer thread joined: 6
Producer thread joined: 7
Consumer thread joined: 7
Producer thread joined: 8
Consumer thread joined: 8
Producer thread joined: 9
Consumer thread joined: 9
Producer thread joined: 10
Consumer thread joined: 10
Producer thread joined: 11
Consumer thread joined: 11
Producer thread joined: 12
Consumer thread joined: 12
Producer thread joined: 13
Consumer thread joined: 13
Producer thread joined: 14
Consumer thread joined: 14
Producer thread joined: 15
Consumer thread joined: 15
Producer Array | Consumer Array 
1  |  1 
2  |  2 
3  |  3 
4  |  4 
5  |  5 
6  |  6 
7  |  7 
8  |  8 
9  |  9 
10  |  10 
11  |  11 
12  |  12 
13  |  13 
14  |  14 
15  |  15 
16  |  16 
17  |  17 
18  |  18 
19  |  19 
20  |  20 
21  |  21 
22  |  22 
23  |  23 
24  |  24 
25  |  25 
26  |  26 
27  |  27 
28  |  28 
29  |  29 
30  |  30 
31  |  31 
32  |  32 
33  |  33 
34  |  34 
35  |  35 
36  |  36 
37  |  37 
38  |  38 
39  |  39 
40  |  40 
41  |  41 
42  |  42 
43  |  43 
44  |  44 
45  |  45 
46  |  46 
47  |  47 
48  |  48 
49  |  49 
50  |  50 
51  |  51 
52  |  52 
53  |  53 
54  |  54 
55  |  55 
56  |  56 
57  |  57 
58  |  58 
59  |  59 
60  |  60 
61  |  61 
62  |  62 
63  |  63 
64  |  64 
65  |  65 
66  |  66 
67  |  67 
68  |  68 
69  |  69 
70  |  70 
71  |  71 
72  |  72 
73  |  73 
74  |  74 
75  |  75 
76  |  76 
77  |  77 
78  |  78 
79  |  79 
80  |  80 
81  |  81 
82  |  82 
83  |  83 
84  |  84 
85  |  85 
86  |  86 
87  |  87 
88  |  88 
89  |  89 
90  |  90 
91  |  91 
92  |  92 
93  |  93 
94  |  94 
95  |  95 
96  |  96 
97  |  97 
98  |  98 
99  |  99 
100  |  100 
101  |  101 
102  |  102 
103  |  103 
104  |  104 
105  |  105 
Total Runtime: 20
